cpse_1,material_code_1,description_1,cpse_2,material_code_2,description_2,category,semantic_score,attribute_score,lexical_score,conflict_count,combined_score,confidence,explanation,same_benchmark_group,pair_id
SAIL,STL7002,SS SEAMLESS PIPE DN25 SCH10,ONGC,ONG6602,Stainless Steel Pipe 25 NB Schedule 10,Pipe,0.4609,0.5,0.6154,2,0.2978,LOW CONFIDENCE,Insufficient evidence for automatic matching — partially matching attributes; moderate textual similarity; Different grade/specification: sch10 vs schedule10; Different unit: metre vs m,True,ONGC:ONG6602 | SAIL:STL7002
NTPC,NTP1101,50 NB Carbon Steel Seamless Pipe Schedule 40,BHEL,BHL1019,MS Seamless Pipe 50 NB Sch40,Pipe,0.7515,0.4,0.5833,3,0.3032,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; moderate textual similarity; Different material: carbon steel vs mild steel; Different grade/specification: schedule40 vs sch40; Different unit: meter vs mtr,True,BHEL:BHL1019 | NTPC:NTP1101
NTPC,NTP7703,25 NB Globe Valve CL 150,SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,0.7769,0.4,0.6129,3,0.3204,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; moderate textual similarity; Different size: 25 nb vs 25nb; Different grade/specification: cl150 vs class150; Different unit: nos vs number,True,NTPC:NTP7703 | SAIL:STL4003
NTPC,NTP7702,80 NB Gate Valve CL 150,SAIL,STL4002,CS GATE VALVE 80NB CLASS150,Valve,0.7653,0.4,0.68,3,0.3246,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; moderate textual similarity; Different size: 80 nb vs 80nb; Different grade/specification: cl150 vs class150; Different unit: nos vs number,True,NTPC:NTP7702 | SAIL:STL4002
SAIL,STL4001,CS Gate Valve 50NB CL150,ONGC,ONG3301,Carbon Steel Gate Valve 50 NB 150 Class,Valve,0.7742,0.4,0.6984,3,0.3319,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; moderate textual similarity; Different size: 50nb vs 50 nb; Different grade/specification: cl150 vs class150; Different unit: number vs ea,True,ONGC:ONG3301 | SAIL:STL4001
NTPC,NTP7701,50 NB Gate Valve Class 150,SAIL,STL4001,CS Gate Valve 50NB CL150,Valve,0.7814,0.4,0.68,3,0.3327,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; moderate textual similarity; Different size: 50 nb vs 50nb; Different grade/specification: class150 vs cl150; Different unit: nos vs number,True,NTPC:NTP7701 | SAIL:STL4001
ONGC,ONG6601,Carbon Steel Seamless Pipe 50 NB Schedule 40,BHEL,BHL1019,MS Seamless Pipe 50 NB Sch40,Pipe,0.7663,0.4,0.75,3,0.3356,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; high textual similarity; Different material: carbon steel vs mild steel; Different grade/specification: schedule40 vs sch40; Different unit: m vs mtr,True,BHEL:BHL1019 | ONGC:ONG6601
BHEL,BHL1010,Gate Valve 50 NB Class 150,SAIL,STL4001,CS Gate Valve 50NB CL150,Valve,0.805,0.4,0.84,3,0.3685,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; high textual similarity; Different size: 50 nb vs 50nb; Different grade/specification: class150 vs cl150; Different unit: nos vs number,True,BHEL:BHL1010 | SAIL:STL4001
SAIL,STL7002,SS SEAMLESS PIPE DN25 SCH10,NTPC,NTP1102,Stainless Steel Seamless Pipe 25 NB Schedule 10,Pipe,0.6088,0.5,0.6757,2,0.3807,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different grade/specification: sch10 vs schedule10; Different unit: metre vs meter,True,NTPC:NTP1102 | SAIL:STL7002
SAIL,STL7001,CS SEAMLESS PIPE DN50 SCH40,NTPC,NTP1101,50 NB Carbon Steel Seamless Pipe Schedule 40,Pipe,0.6995,0.5,0.6197,2,0.4177,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different grade/specification: sch40 vs schedule40; Different unit: metre vs meter,True,NTPC:NTP1101 | SAIL:STL7001
BHEL,BHL1020,SS Seamless Pipe 25 NB Sch10,ONGC,ONG6602,Stainless Steel Pipe 25 NB Schedule 10,Pipe,0.6118,0.6,0.697,2,0.4204,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different grade/specification: sch10 vs schedule10; Different unit: mtr vs m,True,BHEL:BHL1020 | ONGC:ONG6602
SAIL,STL4002,CS GATE VALVE 80NB CLASS150,ONGC,ONG3302,Carbon Steel Gate Valve 80 NB,Valve,0.7213,0.5,0.6429,2,0.4321,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different size: 80nb vs 80 nb; Different unit: number vs ea,True,ONGC:ONG3302 | SAIL:STL4002
ONGC,ONG5503,FRLS Cu Cable 4 Square MM,SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,Cable,0.5063,0.6667,0.3529,1,0.4394,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: m vs metre,True,ONGC:ONG5503 | SAIL:STL6003
ONGC,ONG6601,Carbon Steel Seamless Pipe 50 NB Schedule 40,SAIL,STL7001,CS SEAMLESS PIPE DN50 SCH40,Pipe,0.7184,0.5,0.7042,2,0.4398,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different grade/specification: schedule40 vs sch40; Different unit: m vs metre,True,ONGC:ONG6601 | SAIL:STL7001
ONGC,ONG4401,EPDM Rubber Gasket Size 50 NB,SAIL,STL5001,EPDM GASKET 50NB,Gasket,0.7564,0.5,0.7111,2,0.4599,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 50 nb vs 50nb; Different unit: ea vs number,True,ONGC:ONG4401 | SAIL:STL5001
NTPC,NTP9903,4 Sq MM Copper FRLS Cable,SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,Cable,0.5538,0.6667,0.3529,1,0.4632,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: meter vs metre,True,NTPC:NTP9903 | SAIL:STL6003
NTPC,NTP1103,40 NB Galvanized Iron Pipe Medium Grade,SAIL,STL7003,GI PIPE DN40 MEDIUM,Pipe,0.5157,0.6667,0.4828,1,0.4636,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: meter vs metre,True,NTPC:NTP1103 | SAIL:STL7003
NTPC,NTP4402,Gear Lubricating Oil ISO VG 220,SAIL,STL10002,Industrial Gear Oil Grade 220,Lubricant,0.6527,0.5,0.4667,1,0.4713,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: litre vs lt,True,NTPC:NTP4402 | SAIL:STL10002
ONGC,ONG11001,Industrial Protective Safety Helmet,BHEL,BHL1030,Safety Helmet ISI Approved,PPE,0.6965,0.5,0.4262,1,0.4872,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: ea vs nos,True,BHEL:BHL1030 | ONGC:ONG11001
BHEL,BHL1018,FRLS Copper Cable 4 Sqmm,SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,Cable,0.5703,0.6667,0.5075,1,0.4946,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: mtr vs metre,True,BHEL:BHL1018 | SAIL:STL6003
NTPC,NTP1102,Stainless Steel Seamless Pipe 25 NB Schedule 10,BHEL,BHL1020,SS Seamless Pipe 25 NB Sch10,Pipe,0.7485,0.6,0.7467,2,0.4962,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different grade/specification: schedule10 vs sch10; Different unit: meter vs mtr,True,BHEL:BHL1020 | NTPC:NTP1102
